date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:39:01	129/129	U-----	200	untouched ('OK')	text/html	etag:%22d62f0c-81-45351e5a38d40%22	http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/subfme.html	C:/Documents%20and%20Settings/Administrator/My%20Documents/git/l1j_client/powerpc/powerpc/pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/subfme.html	(from http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/)
18:39:05	42044/42044	---M--	200	added ('OK')	image/gif	etag:%22d62f09-a43c-45351e5a38d40%22	http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/subfic.gif	C:/Documents%20and%20Settings/Administrator/My%20Documents/git/l1j_client/powerpc/powerpc/pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/subfic.gif	(from http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/)
18:39:06	62547/62547	---M--	200	added ('OK')	image/gif	etag:%22d62f05-f453-45351e5a38d40%22	http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/subfc.gif	C:/Documents%20and%20Settings/Administrator/My%20Documents/git/l1j_client/powerpc/powerpc/pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/subfc.gif	(from http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/)
18:39:06	129/129	U-----	200	untouched ('OK')	text/html	etag:%22d62f0e-81-45351e5a38d40%22	http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/subfze.html	C:/Documents%20and%20Settings/Administrator/My%20Documents/git/l1j_client/powerpc/powerpc/pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/subfze.html	(from http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/)
18:39:06	62501/62501	---M--	200	added ('OK')	image/gif	etag:%22d62f07-f425-45351e5a38d40%22	http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/subfe.gif	C:/Documents%20and%20Settings/Administrator/My%20Documents/git/l1j_client/powerpc/powerpc/pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/subfe.gif	(from http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/)
18:39:07	123/123	U-----	200	untouched ('OK')	text/html	etag:%22d62f10-7b-45351e5a38d40%22	http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/xor.html	C:/Documents%20and%20Settings/Administrator/My%20Documents/git/l1j_client/powerpc/powerpc/pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/xor.html	(from http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/)
18:39:08	125/125	U-----	200	untouched ('OK')	text/html	etag:%22d62f12-7d-45351e5a38d40%22	http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/xori.html	C:/Documents%20and%20Settings/Administrator/My%20Documents/git/l1j_client/powerpc/powerpc/pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/xori.html	(from http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/)
18:39:09	63857/63857	---M--	200	added ('OK')	image/gif	etag:%22d62f0b-f971-45351e5a38d40%22	http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/subfme.gif	C:/Documents%20and%20Settings/Administrator/My%20Documents/git/l1j_client/powerpc/powerpc/pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/subfme.gif	(from http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/)
18:39:10	127/127	U-----	200	untouched ('OK')	text/html	etag:%22d62f14-7f-45351e5944b00%22	http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/xoris.html	C:/Documents%20and%20Settings/Administrator/My%20Documents/git/l1j_client/powerpc/powerpc/pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/xoris.html	(from http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/)
18:39:12	30528/30528	---M--	200	added ('OK')	image/gif	etag:%22d62f0f-7740-45351e5944b00%22	http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/xor.gif	C:/Documents%20and%20Settings/Administrator/My%20Documents/git/l1j_client/powerpc/powerpc/pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/xor.gif	(from http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/)
18:39:13	27013/27013	---M--	200	added ('OK')	image/gif	etag:%22d62f11-6985-45351e5a38d40%22	http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/xori.gif	C:/Documents%20and%20Settings/Administrator/My%20Documents/git/l1j_client/powerpc/powerpc/pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/xori.gif	(from http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/)
18:39:13	61153/61153	---M--	200	added ('OK')	image/gif	etag:%22d62f0d-eee1-45351e5a38d40%22	http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/subfze.gif	C:/Documents%20and%20Settings/Administrator/My%20Documents/git/l1j_client/powerpc/powerpc/pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/subfze.gif	(from http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/)
18:39:14	30055/30055	---M--	200	added ('OK')	image/gif	etag:%22d62f13-7567-45351e5a38d40%22	http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/xoris.gif	C:/Documents%20and%20Settings/Administrator/My%20Documents/git/l1j_client/powerpc/powerpc/pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/xoris.gif	(from http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/)
